Company,Landed Date,Capital Investment,Incentivized Jobs, New Jobs ,Project Type,County,County Tier,FJTAP,FIDP,ED,Grants Total
Ebbtide Holdings LLC,12/5/2018,"$542,000 ",97,97,New Startup,Dickson,1,,,"$200,000 ","$200,000 "
"ERMCO, Inc.",1/31/2019,$0 ,130,130,Expansion,Dyer,2,"$200,000 ",,,"$200,000 "
"Gutterglove, Inc",12/3/2020,"$5,400,000 ",85,85,Recruitment,Rutherford,1,,,"$200,000 ","$200,000 "
"Hargett Materials, Inc.",1/26/2021,"$2,150,000 ",50,50,Expansion New Location,Gibson,2,,"$200,000 ",,"$200,000 "
Journeys Group,11/15/2016,"$35,000,000 ",65,72,Expansion,Wilson,1,"$200,000 ",,,"$200,000 "
JumpCrew,12/13/2016,"$2,500,000 ",200,200,Recruitment,Davidson,1,"$200,000 ",,,"$200,000 "
"Martinrea Automotive Structures (USA), Inc.",7/1/2021,"$39,760,000 ",0,97,Expansion,Robertson,1,,,"$200,000 ","$200,000 "
Marvin Windows and Doors Of Tennessee,8/31/2016,"$9,092,000 ",100,100,Expansion,Lauderdale,4,"$200,000 ",,,"$200,000 "
Mobile Mentor Inc,4/23/2018,"$931,848 ",27,110,Recruitment,Davidson,1,"$200,000 ",,,"$200,000 "
Modine Manufacturing Company,2/12/2021,"$1,187,153 ",45,45,Expansion,Lawrence,3,,,"$200,000 ","$200,000 "
Rough Country Intermediate Holdings LLC.,12/31/2020,"$8,500,000 ",100,100,Expansion,Dyer,2,"$200,000 ",,,"$200,000 "
RTG Furniture Corp. of Georgia,6/6/2019,"$69,000,000 ",200,200,Expansion New Location,Wilson,1,"$200,000 ",,,"$200,000 "
SHINHUNG GLOBAL U.S.A. Inc.,9/8/2021,"$7,000,000 ",83,83,Expansion,Montgomery,1,"$200,000 ",,,"$200,000 "
"Teijin Carbon America, Inc.",9/30/2016,"$16,155,000 ",17,69,Expansion,Roane,2,"$200,000 ",,,"$200,000 "
Turner Dairy,12/31/2016,"$8,000,000 ",0,24,Expansion,Shelby,2,"$200,000 ",,,"$200,000 "
Wise Company,11/29/2016,"$2,088,000 ",0,74,Expansion,Hardin,3,"$100,000 ",,"$100,000 ","$200,000 "
"Baltimore Aircoil Company, Inc.",12/20/2023,"$16,500,000 ",63,63,Expansion,Rhea,4,"$199,962 ",,,"$199,962 "
"Leonard Industries Manufacturing, LLC.",1/5/2022,"$5,658,000 ",166,166,Expansion,Greene,3,"$199,200 ",,,"$199,200 "
Fluid Routing Solutions,3/31/2018,"$2,089,000 ",197,197,Expansion,Henderson,3,"$197,000 ",,,"$197,000 "
"E & E Manufacturing of Tennessee, LLC",10/19/2016,"$23,500,000 ",123,123,Expansion,McMinn,3,"$188,800 ",,,"$188,800 "
Direct Coil Inc,12/21/2020,"$14,400,000 ",75,75,Recruitment,Lincoln,1,"$187,500 ",,,"$187,500 "
"Diversified Conveyors International, LLC",6/30/2018,"$500,000 ",75,75,Expansion,Shelby,2,"$187,500 ",,,"$187,500 "
MDS Foods Inc,3/14/2023,"$8,920,000 ",75,75,Expansion,Coffee,2,"$187,500 ",,,"$187,500 "
Delta Faucet Company of Tennessee,5/31/2021,"$2,185,393 ",62,62,Expansion,Madison,2,"$186,000 ",,,"$186,000 "
Rockford Spring Company,6/15/2022,"$10,295,000 ",62,62,Recruitment,Marshall,2,"$186,000 ",,,"$186,000 "
Allied Metal Company,1/31/2022,"$14,355,000 ",61,61,Expansion,Hamilton,1,"$183,000 ",,,"$183,000 "
"Blickman Industries, LLC",7/13/2023,"$2,700,000 ",48,48,Recruitment,Lawrence,3,"$180,000 ",,,"$180,000 "
"Delek US Holdings, Inc.",6/30/2016,"$6,250,000 ",180,180,Expansion,Williamson,1,"$180,000 ",,,"$180,000 "
"Forrester Research, Inc.",1/25/2017,"$2,800,000 ",98,120,Recruitment,Davidson,1,"$180,000 ",,,"$180,000 "
Rugged American Spirits,7/18/2022,"$20,317,936 ",45,45,New Startup,Sullivan,2,,,"$180,000 ","$180,000 "
Tennessee Tool and Fixture,6/1/2017,"$6,500,000 ",31,60,Recruitment,Coffee,2,"$180,000 ",,,"$180,000 "
"Tate Ornamental, Inc.",6/19/2018,"$5,000,000 ",50,50,Expansion New Location,Robertson,1,"$7,500 ","$170,000 ",,"$177,500 "
Cabinets to Go,8/4/2016,"$9,000,000 ",88,88,Recruitment,Lawrence,3,"$176,000 ",,,"$176,000 "
DOT Foods,12/31/2016,"$4,078,000 ",56,117,Expansion,Dyer,2,"$175,500 ",,,"$175,500 "
Cumberland Pharmaceuticals Inc.,6/30/2022,"$6,092,527 ",15,15,Expansion New Location,Davidson,1,,,"$175,000 ","$175,000 "
"Delek US Holdings, Inc.",1/25/2018,"$4,000,000 ",175,175,Expansion,Williamson,1,"$175,000 ",,,"$175,000 "
Hunter Fan Company,10/31/2022,"$5,306,320 ",35,35,Expansion,Rutherford,1,"$175,000 ",,,"$175,000 "
"Old South Wood Preserving, LLC",12/20/2021,"$8,290,390 ",35,35,New Startup,Lawrence,3,"$175,000 ",,,"$175,000 "
The Robinette Company,2/9/2023,"$10,300,000 ",70,70,Expansion New Location,Sullivan,2,"$175,000 ",,,"$175,000 "
"Varsity Spirit, LLC",9/9/2020,"$10,800,000 ",25,25,Expansion New Location,Shelby,2,,,"$175,000 ","$175,000 "
Woods Air Movement,1/7/2021,"$3,630,000 ",27,27,Recruitment,Rutherford,1,,,"$175,000 ","$175,000 "
"Miller Industries Towing Equipment, Inc.",11/8/2018,"$32,750,000 ",174,174,Expansion,Hamilton,1,"$174,000 ",,,"$174,000 "
"OMNICOMMANDER, Inc",5/16/2023,"$1,340,000 ",58,58,Expansion,Williamson,1,"$174,000 ",,,"$174,000 "
"ReNew Biomedical Services, LLC",10/28/2020,"$1,000,000 ",43,43,Expansion,Madison,2,"$172,000 ",,,"$172,000 "
Scapa Tapes North America LLC,3/22/2018,"$40,058,739 ",85,85,Expansion New Location,Knox,1,"$170,000 ",,,"$170,000 "
"General Machine and Tool Company, Inc.",12/13/2022,"$3,750,000 ",25,25,Expansion,Carter,4,"$168,750 ",,,"$168,750 "
"Agrana Fruit US, Inc.",12/31/2023,"$8,749,000 ",33,33,Expansion,Hickman,2,"$165,000 ",,,"$165,000 "
"Brazilian Professionals, LLC",12/22/2022,"$6,105,000 ",110,110,Recruitment,Maury,1,"$165,000 ",,,"$165,000 "
"GS Performance, LLC",10/29/2020,"$6,983,847 ",110,110,Recruitment,Davidson,1,"$165,000 ",,,"$165,000 "
"LeSaint Logistics, LLC",1/31/2020,"$6,924,769 ",165,129,Expansion New Location,Shelby,2,"$165,000 ",,,"$165,000 "
Tractor Supply Company,6/30/2017,"$59,100,000 ",163,163,Expansion,Williamson,1,"$163,000 ",,,"$163,000 "
TE Connectivity,8/20/2019,"$15,650,000 ",81,100,Expansion,Coffee,2,"$162,000 ",,,"$162,000 "
Workwear Outfitters,9/13/2019,$0 ,162,162,Expansion,Lauderdale,4,"$162,000 ",,,"$162,000 "
"Zeus Industrial Products, Inc.",10/9/2019,"$11,250,000 ",54,54,Expansion,Hamilton,1,"$162,000 ",,,"$162,000 "
"Tri-Matic Spring, Inc.",11/3/2017,"$712,000 ",20,20,Expansion,Hardin,3,,,"$160,000 ","$160,000 "
"Bates Rubber, Inc.",5/31/2018,"$1,333,599 ",159,159,Expansion,Perry,4,"$159,000 ",,,"$159,000 "
"Marque of Brands Americas, LLC",9/30/2021,"$1,350,000 ",0,79,Expansion,DeKalb,3,"$158,000 ",,,"$158,000 "
"BMT Manufacturing, LLC",1/31/2017,"$610,000 ",31,31,New Startup,Campbell,4,,,"$155,000 ","$155,000 "
Techni - Glass Corporation,8/31/2017,"$1,525,000 ",54,54,Expansion,Hawkins,4,"$54,000 ",,"$100,000 ","$154,000 "
"Prysmian Cables and Systems USA, LLC",6/10/2016,"$3,720,700 ",51,51,Expansion,Madison,2,"$153,000 ",,,"$153,000 "
Veracity Medical Solutions LLC,12/31/2017,"$568,200 ",43,43,Expansion,Shelby,2,"$150,500 ",,,"$150,500 "
Astec Industries Inc,5/31/2016,"$21,791,000 ",254,254,Expansion,Hamilton,1,"$150,000 ",,,"$150,000 "
Bioventus LLC,11/18/2021,"$9,125,000 ",40,40,Expansion New Location,Shelby,2,"$150,000 ",,,"$150,000 "
Coil Design Corporation,5/14/2018,"$3,433,000 ",0,70,New Startup,Rhea,4,"$150,000 ",,,"$150,000 "
"Engineered Medical Systems, LLC",5/18/2018,"$10,500,000 ",40,40,Expansion,Shelby,2,"$150,000 ",,,"$150,000 "
Five Star Custom Foods,11/16/2017,"$146,000,000 ",138,138,Expansion New Location,Davidson,1,"$150,000 ",,,"$150,000 "
"Haven Steel Products, Inc.",12/21/2023,"$6,546,126 ",19,19,Expansion,Henry,3,,,"$150,000 ","$150,000 "
Imperial Industrial Supply Company,5/31/2021,"$6,600,000 ",50,50,Recruitment,Shelby,2,"$150,000 ",,,"$150,000 "
"Jarden Zinc Products, LLC",10/16/2017,"$51,850,000 ",30,30,Expansion,Greene,3,"$150,000 ",,,"$150,000 "
"M & M Industries, Inc.",10/31/2017,"$44,800,000 ",110,110,Expansion,Hamilton,1,"$150,000 ",,,"$150,000 "
"Material Solutions, LLC",11/30/2017,"$975,000 ",54,150,Recruitment,Shelby,2,"$150,000 ",,,"$150,000 "
"Xtend Healthcare, LLC",6/24/2019,"$1,300,000 ",0,200,Expansion,Sumner,1,"$150,000 ",,,"$150,000 "
Zline Kitchen and Bath LLC,1/18/2023,"$1,790,000 ",50,50,Expansion New Location,Gibson,2,,,"$150,000 ","$150,000 "
National Pen Corporation,4/30/2018,"$10,170,000 ",0,214,Expansion,Bedford,2,"$149,800 ",,,"$149,800 "
Colorobbia,8/31/2016,"$3,420,000 ",29,29,Recruitment,Putnam,2,,,"$149,000 ","$149,000 "
Gateway Packaging,8/1/2017,"$13,256,982 ",96,148,Recruitment,Robertson,1,"$148,000 ",,,"$148,000 "
Simpson Strong-Tie,10/30/2023,"$110,000,000 ",37,37,Expansion New Location,Sumner,1,"$148,000 ",,,"$148,000 "
"Steam Logistics, LLC",10/19/2021,"$6,836,000 ",148,403,Expansion,Hamilton,1,"$148,000 ",,,"$148,000 "
Lightning Source LLC,6/28/2019,"$22,007,038 ",146,146,Expansion New Location,Madison,2,"$146,000 ",,,"$146,000 "
"Diversified Conveyors, Inc.",8/31/2017,"$500,000 ",58,58,Expansion,Shelby,2,"$145,000 ",,,"$145,000 "
"Parker Hannifin Corp, Copper Products Div",5/31/2022,"$2,163,000 ",36,36,Expansion,Weakley,3,,,"$145,000 ","$145,000 "
"FreightWise, LLC",12/18/2023,"$2,082,500 ",48,48,Expansion,Williamson,1,"$144,000 ",,,"$144,000 "
"Heat Company, Inc.",1/31/2023,"$2,428,000 ",48,48,Recruitment,Greene,3,"$144,000 ",,,"$144,000 "
HomeServe USA Corp.,5/9/2017,"$5,500,000 ",192,192,Expansion,Hamilton,1,"$144,000 ",,,"$144,000 "
"WS Packaging Group, Inc.",1/31/2020,"$9,000,000 ",95,95,Expansion,Knox,1,"$142,500 ",,,"$142,500 "
Leadec Industrial Services,5/31/2017,"$5,100,000 ",0,140,Expansion,Maury,1,"$140,000 ",,,"$140,000 "
Steel Technologies,3/30/2016,"$18,825,350 ",70,70,Expansion New Location,Rutherford,1,"$140,000 ",,,"$140,000 "
"Sunland Logistics Solutions, Inc",12/31/2022,"$650,000 ",76,76,Expansion,Gibson,2,"$136,800 ",,,"$136,800 "
"FPMCM,LLC",6/6/2017,"$1,338,500 ",70,70,Expansion New Location,Wayne,4,"$105,000 ","$31,395 ",,"$136,395 "
"Parthenon Tube, Inc.",2/28/2021,"$975,000 ",136,136,Recruitment,Rutherford,1,"$136,000 ",,,"$136,000 "
NomNomNow,11/14/2018,"$1,725,000 ",181,181,Recruitment,Davidson,1,"$135,750 ",,,"$135,750 "
"Harrow Health, Inc.",6/18/2019,"$524,000 ",27,27,Recruitment,Davidson,1,"$135,000 ",,,"$135,000 "
"JDS Technologies, Inc.",3/12/2018,"$2,180,000 ",79,108,Expansion New Location,Scott,4,"$135,000 ",,,"$135,000 "
Pace Industries,9/30/2017,"$10,555,000 ",0,68,Expansion,Madison,2,"$135,000 ",,,"$135,000 "
Plastic Products Company,7/7/2016,"$1,325,189 ",35,35,Expansion,Weakley,3,"$10,000 ",,"$125,000 ","$135,000 "
Lending Solutions Incorporated,5/3/2021,"$2,000,852 ",265,265,Recruitment,Knox,1,"$132,500 ",,,"$132,500 "
"Medacta, USA",5/20/2019,"$2,510,000 ",44,70,Recruitment,Williamson,1,"$132,000 ",,,"$132,000 "
"Mynexus, Inc",12/16/2016,"$972,000 ",257,260,Expansion,Williamson,1,"$130,000 ",,,"$130,000 "
"Aero Build, LLC",9/7/2023,"$861,000 ",43,43,Expansion,Davidson,1,"$129,000 ",,,"$129,000 "
"Seymour of Sycamore, Inc",11/30/2021,"$6,596,000 ",43,43,Recruitment,Marshall,2,"$129,000 ",,,"$129,000 "
Barrett Distributions Ctr Llc,9/30/2017,"$4,000,000 ",68,125,Expansion New Location,Shelby,2,"$125,000 ",,,"$125,000 "
C&S Plastics LLC,5/31/2021,"$2,873,600 ",25,25,Expansion,Lincoln,1,,,"$125,000 ","$125,000 "
"Dynamix Casting Fluxes, LLC",3/9/2020,"$4,688,000 ",25,25,New Startup,Carroll,4,,,"$125,000 ","$125,000 "
"Five Star Food Service, Inc.",5/18/2022,"$7,500,000 ",25,25,Expansion New Location,Hamilton,1,"$125,000 ",,,"$125,000 "
"H.C.A.S. of Florida, Inc.",7/31/2018,"$1,250,000 ",0,250,Expansion,Maury,1,"$125,000 ",,,"$125,000 "
RedDOT Corporation,8/8/2023,"$18,298,811 ",50,50,Expansion New Location,Shelby,2,"$125,000 ",,,"$125,000 "
"Standard Aero Alliance, Inc.",6/12/2018,"$5,000,000 ",67,67,Expansion,Blount,1,"$125,000 ",,,"$125,000 "
"Mueller Refrigeration, LLC",9/30/2016,"$1,331,848 ",28,28,Expansion,Trousdale,2,"$28,000 ","$96,320 ",,"$124,320 "
A.O. Smith Corporation - APCOM,1/31/2023,"$12,307,000 ",31,31,Expansion,Williamson,1,"$124,000 ",,,"$124,000 "
Ultra Safe Nuclear Corporation,3/2/2022,"$12,936,439 ",31,31,Expansion,Roane,2,"$124,000 ",,,"$124,000 "
Home Shopping Network,2/28/2017,"$9,645,555 ",165,165,Expansion,Sullivan,2,"$123,750 ",,,"$123,750 "
HCTec,9/10/2019,"$516,560 ",43,123,Expansion,Lewis,4,"$123,000 ",,,"$123,000 "
Topre America Corporation,4/26/2017,"$38,170,000 ",0,35,Expansion,Rutherford,1,"$122,500 ",,,"$122,500 "
"Steamboat Transportation Group, LLC",4/11/2023,"$2,010,628 ",61,61,Expansion New Location,Williamson,1,"$122,000 ",,,"$122,000 "
Reliance Partners LLC,11/16/2020,"$1,380,557 ",121,121,Expansion,Hamilton,1,"$121,000 ",,,"$121,000 "
Anatolia Granite and Marble Corp,11/30/2021,"$567,387 ",40,40,Expansion New Location,Putnam,2,"$120,000 ",,,"$120,000 "
Banyan Global Technologies,2/28/2022,"$3,800,000 ",60,60,Expansion,Knox,1,"$120,000 ",,,"$120,000 "
"Empyrean Benefit Solutions, Inc.",5/3/2016,"$2,900,000 ",57,120,Recruitment,Rutherford,1,"$120,000 ",,,"$120,000 "
Leclerc Foods Tennessee LLC,4/27/2023,"$3,404,000 ",48,48,Expansion,Sullivan,2,"$120,000 ",,,"$120,000 "
"Magnum Manufacturing, Inc.",11/13/2017,"$2,000,000 ",48,48,Expansion,Houston,4,,,"$120,000 ","$120,000 "
"Mueller Company, LTD",7/17/2018,"$27,383,501 ",96,96,Expansion,Hamilton,1,"$120,000 ",,,"$120,000 "
Parker Hannifin Corporation,8/31/2017,"$33,000,000 ",34,60,Expansion,Greene,3,"$120,000 ",,,"$120,000 "
"Permanent General Companies, Inc.",1/31/2016,"$1,734,170 ",29,276,Expansion,Davidson,1,"$120,000 ",,,"$120,000 "
R & L Carriers Inc,10/31/2020,"$18,490,000 ",40,40,Expansion,Shelby,2,"$120,000 ",,,"$120,000 "
Cooper Standard Automotive,7/13/2017,"$975,000 ",118,118,Expansion,Hawkins,4,"$118,000 ",,,"$118,000 "
Runyon Industries Inc,4/30/2016,"$1,500,000 ",40,78,Expansion,Shelby,2,"$117,000 ",,,"$117,000 "
Clayton Supply,1/31/2021,"$9,123,000 ",46,46,Expansion,Hamblen,3,"$115,000 ",,,"$115,000 "
"CoLinx, Llc",2/28/2018,"$601,900 ",33,33,Expansion,Cumberland,3,"$115,000 ",,,"$115,000 "
"Americolor, LLC",12/7/2020,"$5,550,000 ",57,57,Expansion,Trousdale,2,"$114,000 ",,,"$114,000 "
"Cubic Transportation Systems, Inc.",4/30/2019,"$3,950,000 ",0,75,Expansion,Coffee,2,"$112,500 ",,,"$112,500 "
Hyla Mobile,6/28/2017,"$886,000 ",225,225,New Startup,Rutherford,1,"$112,500 ",,,"$112,500 "
"James R. Glidewell Dental Ceramics, Inc.",3/31/2021,"$1,350,000 ",225,225,Recruitment,Shelby,2,"$112,500 ",,,"$112,500 "
Franke Food Systems America,2/25/2021,"$1,357,625 ",56,56,Expansion,Lincoln,1,"$112,000 ",,,"$112,000 "
"Rocore Knoxville, LLC",9/15/2021,"$3,800,000 ",74,74,Expansion,Knox,1,"$111,000 ",,,"$111,000 "
Copperweld Bimetallics LLC,2/28/2021,"$11,000,000 ",44,44,Expansion,Lincoln,1,"$110,000 ",,,"$110,000 "
Lightning Source LLC,6/30/2022,"$10,000,000 ",110,110,Expansion,Madison,2,"$110,000 ",,,"$110,000 "
"Clear Image, Inc.",1/31/2022,"$550,000 ",36,36,Expansion New Location,Shelby,2,"$108,000 ",,,"$108,000 "
Dana Incorporated,4/30/2016,"$4,600,000 ",108,108,Expansion,Henry,3,"$108,000 ",,,"$108,000 "
"RevSpring, Inc.",8/31/2020,"$2,400,000 ",27,27,Expansion,Davidson,1,"$108,000 ",,,"$108,000 "
"Ebuys, Inc. - Tennessee",9/28/2016,"$8,010,000 ",0,163,Expansion,Rutherford,1,"$105,950 ",,,"$105,950 "
"Southern Industrial Mechanical Maintenance Company II, LLC",1/31/2023,"$1,635,000 ",78,78,Expansion New Location,Haywood,4,"$105,300 ",,,"$105,300 "
Deere & Company,11/30/2017,"$8,000,000 ",77,105,Expansion,Greene,3,"$105,000 ",,,"$105,000 "
"Prysmian Cables and Systems USA, LLC",5/16/2022,"$30,000,000 ",35,35,Expansion,Madison,2,"$105,000 ",,,"$105,000 "
"DePre, LLC",9/22/2023,"$10,342,516 ",26,26,New Startup,Knox,1,"$104,000 ",,,"$104,000 "
"Military Systems Group, Inc.",1/8/2019,"$9,090,000 ",15,69,Expansion,Davidson,1,"$103,500 ",,,"$103,500 "
Microporous,5/4/2018,"$25,000,000 ",37,36,Expansion,Sullivan,2,"$102,000 ",,,"$102,000 "
Anita's Snack Foods Corp.,7/31/2018,"$3,625,000 ",96,101,Expansion,Sullivan,2,"$101,000 ",,,"$101,000 "
A.O. Smith Corporation - APCOM,1/31/2023,"$3,569,500 ",25,25,Expansion,Putnam,2,"$100,000 ",,,"$100,000 "
"Alfresco Pasta, LLC",3/1/2022,"$3,859,341 ",35,35,Expansion New Location,Crockett,2,,,"$100,000 ","$100,000 "
Applied Gratitude Inc.,3/2/2020,"$500,000 ",50,50,Recruitment,Williamson,1,"$100,000 ",,,"$100,000 "
CodeScience,2/29/2016,$0 ,54,54,Expansion New Location,Hamilton,1,"$100,000 ",,,"$100,000 "
"EnableComp, LLC",8/9/2019,"$987,500 ",200,200,Expansion New Location,Coffee,2,"$100,000 ",,,"$100,000 "
Escue Wood Treated Products LLC,12/29/2017,"$3,318,754 ",0,100,Expansion,Gibson,2,"$100,000 ",,,"$100,000 "
Fleetwood Homes Inc,1/31/2021,"$800,000 ",50,50,Expansion,Macon,3,"$100,000 ",,,"$100,000 "
"Gutterglove, Inc",11/29/2021,"$720,800 ",20,20,Expansion New Location,Williamson,1,"$100,000 ",,,"$100,000 "
"Oldcastle APG South, Inc.",8/4/2021,"$10,250,000 ",45,45,Expansion,Montgomery,1,"$100,000 ",,,"$100,000 "
Pace Industries,1/31/2023,"$2,884,464 ",49,49,Expansion,Madison,2,"$100,000 ",,,"$100,000 "
"Phoenix Closures, Inc.",3/31/2017,"$11,445,000 ",25,25,Expansion,Cocke,4,"$100,000 ",,,"$100,000 "
"Titan Display and Packaging, LLC",9/30/2020,"$9,310,000 ",48,48,New Startup,Greene,3,"$100,000 ",,,"$100,000 "
Vaco Nashville LLC,8/31/2017,"$3,240,000 ",30,30,Expansion New Location,Williamson,1,"$100,000 ",,,"$100,000 "
"Worldwide PKG, LLC",2/28/2023,"$891,500 ",100,100,Expansion New Location,Shelby,2,"$100,000 ",,,"$100,000 "
"Zanini Tennessee, Inc.",6/2/2016,"$3,770,000 ",35,74,Expansion,Franklin,2,"$100,000 ",,,"$100,000 "
"Mills Supply Co., Inc.",7/31/2023,"$8,691,000 ",26,26,Recruitment,Davidson,1,"$99,996 ",,,"$99,996 "
TBDN Tennessee Company,2/28/2019,"$49,962,500 ",31,59,Expansion,Madison,2,"$98,530 ",,,"$98,530 "
"Owens Corning Composite Materials, LLC",2/28/2022,"$43,000,000 ",17,17,Expansion,Madison,2,"$97,750 ",,,"$97,750 "
Parker Hannifin Corporation,8/31/2021,"$6,000,000 ",39,39,Expansion,Overton,3,"$97,500 ",,,"$97,500 "
Exel Inc. DBA DHL Supply Chain,8/31/2019,"$3,511,343 ",97,97,Expansion New Location,Shelby,2,"$97,000 ",,,"$97,000 "
"TruForm Manufacturing, Inc.",11/9/2018,"$13,969,546 ",24,87,Expansion,Dickson,1,"$95,700 ",,,"$95,700 "
"ThyssenKrupp Elevator Manufacturing, Inc.",10/31/2016,"$4,082,539 ",158,82,Expansion,Hardeman,4,"$94,800 ",,,"$94,800 "
Sonoco Products,6/30/2019,"$13,097,257 ",47,47,Expansion,Madison,2,"$94,000 ",,,"$94,000 "
Kordsa Inc.,10/31/2017,"$10,000,000 ",0,46,Expansion,Hamilton,1,"$92,000 ",,,"$92,000 "
"Simple Logistics Solutions, LLC",6/9/2021,"$711,800 ",92,92,New Startup,Davidson,1,"$92,000 ",,,"$92,000 "
"Robinson Manufacturing Company, Inc.",4/27/2021,"$20,000,000 ",91,91,Expansion New Location,Rhea,4,"$91,000 ",,,"$91,000 "
Adient US LLC,4/30/2019,"$12,350,000 ",90,90,Expansion,Maury,1,"$90,000 ",,,"$90,000 "
Dream CSX,4/30/2018,"$1,645,000 ",0,178,New Startup,Blount,1,"$90,000 ",,,"$90,000 "
"KTG USA, Inc.",6/30/2021,"$25,000,000 ",30,30,Expansion,Shelby,2,"$90,000 ",,,"$90,000 "
Lewisburg Printing LLC,6/27/2016,"$12,000,000 ",90,90,Expansion,Marshall,2,"$90,000 ",,,"$90,000 "
Quality Metal Stamping LLC,7/31/2023,"$5,000,000 ",30,30,Expansion,Chester,3,"$90,000 ",,,"$90,000 "
"Red Collar Pet Foods, Inc.",7/29/2019,"$3,650,000 ",30,30,Expansion,Williamson,1,"$90,000 ",,,"$90,000 "
Kinspar LLC,3/31/2022,"$951,000 ",22,22,Recruitment,McNairy,4,"$89,100 ",,,"$89,100 "
Black Rifle Coffee Company,5/21/2018,"$6,050,125 ",52,52,Recruitment,Coffee,2,"$88,000 ",,,"$88,000 "
Branch Technology LLC,3/31/2016,"$25,303,068 ",56,80,Recruitment,Hamilton,1,"$88,000 ",,,"$88,000 "
"ICON US Holdings, Inc.",1/19/2021,"$2,000,000 ",85,85,Expansion,Davidson,1,"$85,000 ",,,"$85,000 "
Landair Transport Inc,5/31/2017,"$42,824,000 ",210,210,Expansion,Greene,3,"$84,000 ",,,"$84,000 "
"Primex Color, Compounding & Additives Corporation",5/11/2023,"$5,400,000 ",28,28,Expansion,Marion,3,"$84,000 ",,,"$84,000 "
Loews Corporation,3/31/2016,"$762,611 ",64,64,Expansion,Davidson,1,"$83,200 ",,,"$83,200 "
"The Farmer's Dog, Inc",2/29/2020,"$970,000 ",332,332,Expansion New Location,Davidson,1,"$83,000 ",,,"$83,000 "
"Patterson Warehouses, Inc .",11/30/2019,"$25,600,000 ",41,41,Expansion New Location,Shelby,2,"$82,000 ",,,"$82,000 "
"Frito-Lay, Inc.",4/30/2018,"$50,975,000 ",40,40,Expansion,Lincoln,1,"$80,000 ",,,"$80,000 "
Schnellecke Logistics USA,3/31/2016,$0 ,200,50,Expansion,Hamilton,1,"$80,000 ",,,"$80,000 "
"Valeo North America, Inc.",6/28/2017,"$25,127,399 ",76,80,Expansion,Rutherford,1,"$80,000 ",,,"$80,000 "
CloudOne,3/11/2020,"$2,132,893 ",318,318,Recruitment,Davidson,1,"$79,500 ",,,"$79,500 "
Wilson Lumber Company,11/30/2018,"$4,550,000 ",0,79,Recruitment,Sumner,1,"$79,000 ",,,"$79,000 "
"Jet It, LLC",11/30/2021,"$2,125,024 ",39,39,Expansion New Location,Shelby,2,"$78,000 ",,,"$78,000 "
Excel Inc. d/b/a DHL Supply Chain (USA),3/31/2022,"$7,076,368 ",76,76,Expansion New Location,Shelby,2,"$76,000 ",,,"$76,000 "
"Mirion Technologies, Inc.",7/31/2021,"$8,820,000 ",76,76,Expansion,Anderson,2,"$76,000 ",,,"$76,000 "
"TruForm Manufacturing, Inc.",8/31/2016,"$10,010,000 ",76,76,Expansion,Dickson,1,"$76,000 ",,,"$76,000 "
"Toyo Seat, USA",1/31/2019,"$2,301,000 ",26,26,Expansion,Grundy,4,"$75,608 ",,,"$75,608 "
"Fraley and Schilling, Inc. and RLK Properties, LLC",11/17/2020,"$2,400,000 ",50,50,Expansion,Knox,1,"$75,000 ",,,"$75,000 "
"Hope Industries, Inc.",4/30/2017,"$1,155,200 ",32,32,Expansion,Monroe,3,,,"$75,000 ","$75,000 "
Profile Inc.,10/13/2020,"$2,500,000 ",23,23,Expansion,Henry,3,,,"$75,000 ","$75,000 "
GCP Applied Technologies,5/22/2017,"$11,000,000 ",0,29,Expansion,Maury,1,"$74,000 ",,,"$74,000 "
"Primex Color, Compounding & Additives Corporation",3/31/2016,"$2,500,000 ",29,29,Expansion,Marion,3,"$72,500 ",,,"$72,500 "
Teknor Apex Tennessee Company,3/31/2016,"$908,000 ",72,72,Expansion,Haywood,4,"$72,000 ",,,"$72,000 "
American Greetings Corporation,8/31/2018,"$643,064 ",35,50,Expansion,Lauderdale,4,"$70,000 ",,,"$70,000 "
Aldelano Solar Cold Chain Solutions Inc.,8/26/2016,"$1,500,000 ",0,68,New Startup,Madison,2,"$68,000 ",,,"$68,000 "
AutomationNth,10/31/2018,"$3,405,000 ",34,34,Expansion New Location,Rutherford,1,"$68,000 ",,,"$68,000 "
"Newport Springs Bottling, LLC",1/31/2021,"$11,800,000 ",27,34,Recruitment,Cocke,4,"$68,000 ",,,"$68,000 "
AeroWall Dynamics,9/12/2016,"$508,607 ",0,36,New Startup,Williamson,1,"$67,300 ",,,"$67,300 "
Engineered Spray Components LLC,5/17/2018,"$677,000 ",22,22,Expansion,Henderson,3,,"$66,000 ",,"$66,000 "
"VF Imagewear, Inc.",9/13/2019,"$5,715,000 ",66,66,Expansion New Location,Tipton,2,"$66,000 ",,,"$66,000 "
"Natureplex,LLC",7/31/2020,"$3,731,093 ",131,131,Expansion New Location,Shelby,2,"$65,500 ",,,"$65,500 "
PVS Plastics Technology Corp.,6/15/2023,"$6,908,000 ",26,26,Recruitment,Washington,1,"$65,000 ",,,"$65,000 "
"Total Source Packaging, Inc.",9/30/2016,"$1,688,400 ",18,18,Expansion,Monroe,3,"$14,400 ",,"$50,220 ","$64,620 "
